model,ticker,event_type,n_events,car_mean,car_std,t_stat,p_value,significant_005
VADER,AAPL,positive,17,0.0001,0.0168,0.0323,0.9746,False
VADER,AAPL,negative,3,-0.0056,0.0133,-0.7249,0.5438,False
VADER,MSFT,positive,18,-0.0103,0.0261,-1.6663,0.114,False
VADER,GOOGL,positive,23,0.0065,0.0462,0.6799,0.5036,False
VADER,AMZN,positive,21,0.0194,0.033,2.693,0.014,True
VADER,TSLA,positive,5,0.0188,0.0386,1.0873,0.338,False
VADER,TSLA,negative,6,-0.0051,0.019,-0.6574,0.54,False
VADER,NVDA,positive,18,-0.0014,0.0325,-0.186,0.8546,False
VADER,NVDA,negative,4,-0.0149,0.061,-0.4888,0.6585,False
VADER,JPM,positive,3,-0.0309,0.0411,-1.3023,0.3226,False
VADER,JPM,negative,5,0.0202,0.01,4.5158,0.0107,True
VADER,BAC,positive,7,0.0097,0.0247,1.0418,0.3376,False
FinBERT,AAPL,positive,15,-0.0004,0.0152,-0.1036,0.919,False
FinBERT,MSFT,positive,14,0.0048,0.0367,0.4933,0.63,False
FinBERT,MSFT,negative,5,-0.0079,0.0097,-1.8192,0.143,False
FinBERT,GOOGL,positive,20,0.0133,0.0455,1.3071,0.2068,False
FinBERT,GOOGL,negative,6,-0.0063,0.0267,-0.58,0.587,False
FinBERT,AMZN,positive,15,0.0218,0.0349,2.4178,0.0298,True
FinBERT,AMZN,negative,3,-0.0092,0.0142,-1.1205,0.379,False
FinBERT,TSLA,positive,9,0.0082,0.0352,0.6959,0.5062,False
FinBERT,TSLA,negative,8,0.0081,0.0648,0.355,0.7331,False
FinBERT,NVDA,positive,17,0.0033,0.0308,0.4347,0.6696,False
FinBERT,NVDA,negative,7,-0.0028,0.019,-0.3951,0.7064,False
FinBERT,JPM,positive,5,-0.0149,0.0379,-0.877,0.43,False
FinBERT,JPM,negative,7,-0.0011,0.0327,-0.0882,0.9326,False
FinBERT,BAC,positive,6,0.0079,0.0235,0.8215,0.4488,False
FinBERT,XOM,positive,4,0.0231,0.0324,1.4249,0.2494,False
FinBERT,XOM,negative,4,0.0175,0.0183,1.912,0.1518,False
