model,ticker,corr_all,corr_high_conf,improvement
VADER,AAPL,0.014,-0.0036,-0.0176
VADER,MSFT,0.0115,0.0759,0.0644
VADER,GOOGL,-0.1387,-0.1786,-0.0399
VADER,AMZN,0.2464,0.2584,0.012
VADER,TSLA,0.4592,0.3892,-0.07
VADER,META,0.2469,0.1311,-0.1159
VADER,NVDA,0.1587,0.1471,-0.0116
VADER,JPM,-0.3264,-0.3179,0.0085
VADER,BAC,-0.4404,-0.4404,0.0
VADER,XOM,0.1488,0.1488,0.0
FinBERT,AAPL,-0.111,-0.0982,0.0127
FinBERT,MSFT,0.3149,0.2978,-0.0172
FinBERT,GOOGL,0.1568,0.1533,-0.0035
FinBERT,AMZN,0.2734,0.2745,0.0011
FinBERT,TSLA,0.4544,0.4392,-0.0151
FinBERT,META,0.0856,0.0948,0.0091
FinBERT,NVDA,0.4411,0.3719,-0.0692
FinBERT,JPM,-0.4977,-0.4871,0.0106
FinBERT,BAC,-0.7846,-0.7846,0.0
FinBERT,XOM,-0.0168,-0.0869,-0.0701
