model,ticker,lag,IC,p_value,significant_005,n
VADER,AAPL,0,-0.0228,0.8936,False,37
VADER,AAPL,1,-0.0294,0.8649,False,36
VADER,AAPL,2,0.3018,0.078,False,35
VADER,AAPL,3,0.1357,0.444,False,34
VADER,MSFT,0,-0.0505,0.791,False,30
VADER,MSFT,1,-0.002,0.9919,False,29
VADER,MSFT,2,-0.2419,0.2149,False,28
VADER,MSFT,3,-0.0232,0.9086,False,27
VADER,GOOGL,0,-0.2801,0.1411,False,29
VADER,GOOGL,1,0.2704,0.164,False,28
VADER,GOOGL,2,-0.1731,0.3879,False,27
VADER,GOOGL,3,-0.0944,0.6465,False,26
VADER,AMZN,0,0.1424,0.4613,False,29
VADER,AMZN,1,0.191,0.3301,False,28
VADER,AMZN,2,0.2055,0.3039,False,27
VADER,AMZN,3,0.3943,0.0463,True,26
VADER,TSLA,0,0.4915,0.005,True,31
VADER,TSLA,1,0.0745,0.6955,False,30
VADER,TSLA,2,-0.0286,0.883,False,29
VADER,TSLA,3,0.0192,0.9229,False,28
VADER,META,0,0.2747,0.3418,False,14
VADER,META,1,0.0275,0.929,False,13
VADER,META,2,-0.014,0.9656,False,12
VADER,META,3,-0.2636,0.4334,False,11
VADER,NVDA,0,0.1716,0.3319,False,34
VADER,NVDA,1,0.0455,0.8017,False,33
VADER,NVDA,2,-0.1217,0.507,False,32
VADER,NVDA,3,-0.2335,0.2062,False,31
VADER,JPM,0,-0.2338,0.2831,False,23
VADER,JPM,1,-0.2271,0.3096,False,22
VADER,JPM,2,-0.2442,0.286,False,21
VADER,JPM,3,-0.4075,0.0745,False,20
VADER,BAC,0,-0.1852,0.4479,False,19
VADER,BAC,1,0.3086,0.2128,False,18
VADER,BAC,2,-0.2943,0.2359,False,18
VADER,BAC,3,0.363,0.1522,False,17
VADER,XOM,0,-0.0877,0.7293,False,18
VADER,XOM,1,0.2819,0.2731,False,17
VADER,XOM,2,-0.1088,0.6883,False,16
VADER,XOM,3,0.025,0.9295,False,15
FinBERT,AAPL,0,-0.1155,0.4962,False,37
FinBERT,AAPL,1,-0.1637,0.3401,False,36
FinBERT,AAPL,2,0.0588,0.7371,False,35
FinBERT,AAPL,3,0.1233,0.4872,False,34
FinBERT,MSFT,0,0.2165,0.2506,False,30
FinBERT,MSFT,1,0.0133,0.9454,False,29
FinBERT,MSFT,2,-0.1084,0.583,False,28
FinBERT,MSFT,3,0.0928,0.6453,False,27
FinBERT,GOOGL,0,0.0739,0.7033,False,29
FinBERT,GOOGL,1,0.1637,0.4053,False,28
FinBERT,GOOGL,2,0.163,0.4166,False,27
FinBERT,GOOGL,3,-0.3374,0.0918,False,26
FinBERT,AMZN,0,0.0823,0.6714,False,29
FinBERT,AMZN,1,0.0794,0.6881,False,28
FinBERT,AMZN,2,0.0971,0.63,False,27
FinBERT,AMZN,3,0.2889,0.1523,False,26
FinBERT,TSLA,0,0.4105,0.0218,True,31
FinBERT,TSLA,1,-0.0158,0.934,False,30
FinBERT,TSLA,2,-0.1867,0.3322,False,29
FinBERT,TSLA,3,-0.3175,0.0997,False,28
FinBERT,META,0,0.2044,0.4833,False,14
FinBERT,META,1,0.1429,0.6415,False,13
FinBERT,META,2,0.1678,0.6021,False,12
FinBERT,META,3,-0.1091,0.7495,False,11
FinBERT,NVDA,0,0.4277,0.0116,True,34
FinBERT,NVDA,1,-0.0074,0.9676,False,33
FinBERT,NVDA,2,-0.1774,0.3313,False,32
FinBERT,NVDA,3,-0.3056,0.0945,False,31
FinBERT,JPM,0,-0.5356,0.0084,True,23
FinBERT,JPM,1,-0.0841,0.7097,False,22
FinBERT,JPM,2,0.1091,0.6378,False,21
FinBERT,JPM,3,-0.1805,0.4465,False,20
FinBERT,BAC,0,-0.4596,0.0477,True,19
FinBERT,BAC,1,0.5315,0.0232,True,18
FinBERT,BAC,2,-0.5315,0.0232,True,18
FinBERT,BAC,3,0.5564,0.0204,True,17
FinBERT,XOM,0,0.1187,0.639,False,18
FinBERT,XOM,1,0.1961,0.4507,False,17
FinBERT,XOM,2,0.0324,0.9053,False,16
FinBERT,XOM,3,-0.1464,0.6025,False,15
