model,ticker,lag,pearson_r,pearson_p,spearman_r,significant_005
VADER,AAPL,0,0.0002,0.9989,-0.0228,False
VADER,AAPL,1,-0.0008,0.9961,-0.0294,False
VADER,AAPL,2,0.3135,0.0666,0.3018,False
VADER,AAPL,3,0.014,0.9375,0.1357,False
VADER,MSFT,0,-0.0023,0.9903,-0.0505,False
VADER,MSFT,1,0.0092,0.9622,-0.002,False
VADER,MSFT,2,-0.2356,0.2274,-0.2419,False
VADER,MSFT,3,0.0329,0.8707,-0.0232,False
VADER,GOOGL,0,-0.1331,0.4913,-0.2801,False
VADER,GOOGL,1,0.042,0.832,0.2704,False
VADER,GOOGL,2,-0.0806,0.6895,-0.1731,False
VADER,GOOGL,3,-0.0381,0.8533,-0.0944,False
VADER,AMZN,0,0.1962,0.3077,0.1424,False
VADER,AMZN,1,0.1663,0.3976,0.191,False
VADER,AMZN,2,0.276,0.1635,0.2055,False
VADER,AMZN,3,0.3096,0.1238,0.3943,False
VADER,TSLA,0,0.5126,0.0032,0.4915,True
VADER,TSLA,1,0.1013,0.5942,0.0745,False
VADER,TSLA,2,0.0352,0.8564,-0.0286,False
VADER,TSLA,3,0.0091,0.9635,0.0192,False
VADER,META,0,0.2518,0.3852,0.2747,False
VADER,META,1,-0.0225,0.942,0.0275,False
VADER,META,2,-0.2747,0.3875,-0.014,False
VADER,META,3,-0.2228,0.5102,-0.2636,False
VADER,NVDA,0,0.1906,0.2803,0.1716,False
VADER,NVDA,1,-0.0921,0.6103,0.0455,False
VADER,NVDA,2,-0.0495,0.7878,-0.1217,False
VADER,NVDA,3,-0.2499,0.1751,-0.2335,False
VADER,JPM,0,-0.1955,0.3713,-0.2338,False
VADER,JPM,1,-0.328,0.1362,-0.2271,False
VADER,JPM,2,-0.1463,0.5269,-0.2442,False
VADER,JPM,3,-0.3528,0.1271,-0.4075,False
VADER,BAC,0,-0.3076,0.2001,-0.1852,False
VADER,BAC,1,0.3834,0.1163,0.3086,False
VADER,BAC,2,-0.3345,0.1749,-0.2943,False
VADER,BAC,3,0.2762,0.2833,0.363,False
VADER,XOM,0,0.0939,0.711,-0.0877,False
VADER,XOM,1,0.2769,0.282,0.2819,False
VADER,XOM,2,-0.218,0.4172,-0.1088,False
VADER,XOM,3,0.1598,0.5695,0.025,False
FinBERT,AAPL,0,-0.1162,0.4933,-0.1155,False
FinBERT,AAPL,1,-0.1547,0.3677,-0.1637,False
FinBERT,AAPL,2,0.1331,0.4459,0.0588,False
FinBERT,AAPL,3,0.138,0.4365,0.1233,False
FinBERT,MSFT,0,0.3011,0.106,0.2165,False
FinBERT,MSFT,1,0.063,0.7454,0.0133,False
FinBERT,MSFT,2,-0.1258,0.5236,-0.1084,False
FinBERT,MSFT,3,0.1184,0.5564,0.0928,False
FinBERT,GOOGL,0,0.152,0.4311,0.0739,False
FinBERT,GOOGL,1,0.1837,0.3494,0.1637,False
FinBERT,GOOGL,2,0.1432,0.476,0.163,False
FinBERT,GOOGL,3,-0.3226,0.108,-0.3374,False
FinBERT,AMZN,0,0.2141,0.2647,0.0823,False
FinBERT,AMZN,1,0.0801,0.6853,0.0794,False
FinBERT,AMZN,2,0.0808,0.6887,0.0971,False
FinBERT,AMZN,3,0.3294,0.1004,0.2889,False
FinBERT,TSLA,0,0.4564,0.0099,0.4105,True
FinBERT,TSLA,1,-0.0383,0.8409,-0.0158,False
FinBERT,TSLA,2,-0.1127,0.5604,-0.1867,False
FinBERT,TSLA,3,-0.3339,0.0825,-0.3175,False
FinBERT,META,0,0.0908,0.7575,0.2044,False
FinBERT,META,1,0.163,0.5946,0.1429,False
FinBERT,META,2,0.1621,0.6148,0.1678,False
FinBERT,META,3,-0.1833,0.5896,-0.1091,False
FinBERT,NVDA,0,0.4372,0.0097,0.4277,True
FinBERT,NVDA,1,-0.0372,0.8371,-0.0074,False
FinBERT,NVDA,2,-0.0341,0.8531,-0.1774,False
FinBERT,NVDA,3,-0.304,0.0964,-0.3056,False
FinBERT,JPM,0,-0.5306,0.0092,-0.5356,True
FinBERT,JPM,1,-0.1301,0.5638,-0.0841,False
FinBERT,JPM,2,0.1439,0.5337,0.1091,False
FinBERT,JPM,3,-0.1053,0.6585,-0.1805,False
FinBERT,BAC,0,-0.6084,0.0057,-0.4596,True
FinBERT,BAC,1,0.4389,0.0685,0.5315,False
FinBERT,BAC,2,-0.4818,0.0429,-0.5315,True
FinBERT,BAC,3,0.4639,0.0607,0.5564,False
FinBERT,XOM,0,0.0417,0.8696,0.1187,False
FinBERT,XOM,1,0.2231,0.3895,0.1961,False
FinBERT,XOM,2,-0.0442,0.8708,0.0324,False
FinBERT,XOM,3,-0.3295,0.2304,-0.1464,False
