ticker,headline,summary,source,date,label_text,label,true_label,headline_clean,finbert_model,finbert_label,finbert_compound_score,finbert_score_positive,finbert_score_negative,finbert_score_neutral
AAPL,Xi Jinping tells CEOs that 'China's door will only open wider' as Trump's two-day visit gets underway,Chinese President Xi Jinping warmly welcomed a delegation of US CEOs on Thursday during the first day of President Trump's visit to the country.,Yahoo Finance,2026-05-14,,,,Xi Jinping tells CEOs that 'China's door will only open wider' as Trump's two-day visit gets underway,FinBERT,neutral,0.37536220997571945,0.45001935958862305,0.0746571496129036,0.47532349824905396
AAPL,Apple And OpenAI Rift Puts AI Partnerships And Investor Focus In Spotlight,"Apple’s partnership with OpenAI has reportedly become strained, with OpenAI preparing potential legal action. The dispute centers on alleged shortfalls in Apple’s delivery of commercial and integration commitments under a multi year agreement. The tension is emerging as Apple expands its AI offerings and opens its ecosystem to additional third party AI providers. For investors following Apple, NasdaqGS:AAPL, the dispute lands at a time when the stock is trading around $298.21 and has...",Simply Wall St.,2026-05-15,,,,Apple And OpenAI Rift Puts AI Partnerships And Investor Focus In Spotlight,FinBERT,positive,0.7119887601584196,0.7209814786911011,0.008992718532681465,0.2700258195400238
AAPL,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the S&P 500 and Nasdaq-100.",Market concentration can amplify gains but also compound declines during a stock market sell-off.,Motley Fool,2026-05-15,,,,"The ""Magnificent Seven"" Has Gained $4.8 Trillion Since the Start of April. Here's Why That's a Risk to the SP 500 and Nasdaq-100.",FinBERT,neutral,-0.02991638332605362,0.07036876678466797,0.10028515011072159,0.8293460607528687
AAPL,"Why are so many U.S. CEOs in China with Trump, and what do they want?",More than a dozen American CEOs are accompanying President Trump on his trip to China. That's not unusual.,CBS News,2026-05-15,,,,"Why are so many U.S. CEOs in China with Trump, and what do they want?",FinBERT,neutral,-0.1365458369255066,0.03128650784492493,0.16783234477043152,0.8008811473846436
AAPL,"1 Unstoppable Stock to Buy Before It Joins Nvidia, Alphabet, and Apple in the $4 Trillion Club",Artificial intelligence could be Amazon's ticket into the ultra-exclusive $4 trillion club.,Motley Fool,2026-05-14,,,,"1 Unstoppable Stock to Buy Before It Joins Nvidia, Alphabet, and Apple in the $4 Trillion Club",FinBERT,neutral,0.14135530311614275,0.15046219527721405,0.0091068921610713,0.8404309153556824
AAPL,BuzzHPC targets $200M in AI revenue while Big Tech is still burning cash,"While the biggest names in tech are burning billions to build AI infrastructure, BuzzHPC is already running close to 80% EBITDA margins and generating real revenue. Craig Tavares, President and COO of BuzzHPC — a subsidiary of Hive Digital Technologies — joined TheStreet Roundtable to lay out a ...",TheStreet,2026-05-14,,,,BuzzHPC targets $200M in AI revenue while Big Tech is still burning cash,FinBERT,neutral,0.20337733160704374,0.2151331901550293,0.011755858547985554,0.7731109857559204
AAPL,"Wall Street Hearts AI, as Blockbuster IPO Shows","The strong reception comes after enthusiasm for AI companies and chip hardware helped the S&P 500 and the tech-laden Nasdaq composite rebound quickly from Iran war concerns and soar to new records.  At the other end of the spectrum, Honda reported its first annual loss as a listed company—equivalent to $2.7 billion.  2. Security researchers say they have discovered a new way of circumventing Apple’s state-of-the-art security technology.",The Wall Street Journal,2026-05-14,,,,"Wall Street Hearts AI, as Blockbuster IPO Shows",FinBERT,positive,0.6370715349912643,0.7100871801376343,0.07301564514636993,0.216897115111351
AAPL,"Tech Gains Lift Nasdaq, S&P 500 to New Highs","The Nasdaq Composite and the S&P 500 hit new peaks on Thursday, buoyed again by gains in the technol",MT Newswires,2026-05-14,,,,"Tech Gains Lift Nasdaq, SP 500 to New Highs",FinBERT,positive,0.6907105520367622,0.7756450772285461,0.0849345251917839,0.13942034542560577
AAPL,OpenAI prepares legal action against Apple over ChatGPT deal,The AI company enlisted an outside law firm after the partnership failed to generate expected subscribers or prominence within Apple's ecosystem,Quartz,2026-05-14,,,,OpenAI prepares legal action against Apple over ChatGPT deal,FinBERT,negative,-0.6974883824586868,0.021855100989341736,0.7193434834480286,0.2588014602661133
AAPL,Fortress Private Ledger Buys $2.8 Million Worth of FEGE -- a Global Equity ETF Outpacing the S&P 500,"This actively managed ETF invests across U.S. and global equities, with a one-year price gain outpacing the S&P 500.",Motley Fool,2026-05-14,,,,Fortress Private Ledger Buys $2.8 Million Worth of FEGE -- a Global Equity ETF Outpacing the SP 500,FinBERT,positive,0.5930170789361,0.6021009087562561,0.009083829820156097,0.3888152539730072
